,wine_index,type_,alcohol,quality,name_,crispness,acidity,fruitiness,sweetness,dryness
54,54,red,9.5,5,'Espet 2018',2,2,2,3,3
55,55,red,9.5,5,'Li Cabelle Monto Riserva Blunello di Moullase Viney',2,2,2,3,3
56,56,red,9.2,4,'K76',2,2,1,3,3
57,57,red,9.6,5,'Lo Steanillo Red 2018',3,3,3,4,2
58,58,red,10.5,5,'Y2019',3,3,1,3,3
59,59,red,10.5,5,'Nota AOch Reserve Cabernet Sauvignon 2076',3,3,1,3,3
60,60,red,10.7,6,'Hoina Grganic 2019',1,2,1,3,3
61,61,red,10.1,5,'GLa Bricallo 2015',1,2,1,3,3
62,62,red,9.1,4,'Boss Viseyards Rio PinottNon Marges Heuttrey Vel Mo',2,2,3,3,3
63,63,red,9.2,5,'Chianti Classico Rosto 2020',1,1,1,3,3
64,64,red,9.1,5,'Zgulinal 2021',2,2,2,3,3
65,65,red,10.3,6,'Uxtilla 2019',2,1,2,3,3
66,66,red,10.1,5,'Fra 2019',2,2,1,3,3
67,67,red,9.9,6,'Cle dige Grow Reserva Shiraz',2,3,3,3,3
68,68,red,9.6,5,'Sthaschio Cinotary 2015',2,2,1,3,3
69,69,red,9.5,5,'N018',3,3,3,3,3
70,70,red,9.0,5,'GRhe Boufoly 2021',2,2,1,3,3
71,71,red,9.5,5,'U9va Amboturecco',2,2,3,3,3
72,72,red,9.9,6,'Mont Binoldoris Higrran Magau Vallaz 2020',2,3,3,3,3
73,73,red,9.8,5,'Lote 2018',2,3,3,3,3
74,74,red,9.6,5,'X Gra DuCMalicne SmirazManco Berus 2020',2,2,1,3,3
75,75,red,10.5,4,'FCabernet Sauvignon 2020',1,1,1,2,4
76,76,red,12.9,6,'Y169',1,1,1,2,4
77,77,red,10.7,5,'KZn Angution Leletsine 2019',1,2,1,4,2
78,78,red,9.2,5,'WHalbel Grand Cro 2021',2,2,1,3,3
79,79,red,9.8,5,'Not',2,2,1,4,2
80,80,red,9.0,6,'Manirs Cuvi Chteau Brunello digouna 2019',2,2,1,3,3
81,81,red,10.2,6,'Ova Valpalicella Elpanic 2020',2,2,1,3,3
82,82,red,10.4,6,'Pla Rsiana Castradirio Biardar Vinso 2019',2,2,1,3,3
83,83,red,9.0,6,'T6s Poilre Loabbetune Cleves Gran Reserva 2019',2,2,1,3,3
84,84,red,9.2,5,'Knes SaintG5otherowon 2021',2,2,1,3,3
85,85,red,9.4,5,'Mables Soigborn 2014',2,2,1,3,3
86,86,red,9.2,5,'Tha Burgea 2018',2,2,1,3,3
87,87,red,9.3,5,'Lan de Tourtuieglo 2018',1,1,1,3,3
88,88,red,9.6,6,'Ster 2020',2,2,2,4,2
89,89,red,9.5,5,'Helmuza Bourol Vien Red 2021',2,2,1,3,3
90,90,red,9.8,5,'Ter Trossean Doggas Cabernet Sauvignon 2021',2,3,1,3,3
91,91,red,9.8,5,'Dona Cabernet Sauvignon 2018',2,3,2,3,3
92,92,red,9.7,6,'Fbraccino 201N',3,3,2,4,2
93,93,red,9.5,5,'Basco 7',2,2,1,3,3
94,94,red,10.5,6,'Jwmanson Bland Red BlendGsonachelinalDa 2017',3,3,2,3,3
95,95,red,10.0,6,'Chantas Gaytred Toug SaigitSeristonno 2019',2,2,1,3,3
96,96,red,9.4,6,'Tufares 1er Cru 2017',2,2,1,3,3
97,97,red,9.2,6,'YFina',2,2,2,3,3
98,98,red,9.2,5,'Baro AGresie 2020',2,2,1,4,2
99,99,red,9.5,5,'WDFbicks Seriturget Esx Vel Estet Pinot Noir 2021',2,2,1,4,2
100,100,red,9.5,5,'U Chteau Meatone',2,2,2,3,3
101,101,red,10.9,5,'Este Series Valaysinam Kinnat 2021',2,2,1,2,4
102,102,red,10.9,5,'Q2019',2,2,1,2,4
103,103,red,10.5,7,'QA',2,2,1,2,4
104,104,red,9.4,5,'Vignan',1,1,1,3,3
105,105,red,13.0,5,'Chiraz 2020',1,1,1,2,4
106,106,red,13.0,5,'KXKQ2018',1,1,1,2,4
107,107,red,9.8,6,'T8',1,2,1,2,4
108,108,red,9.9,6,'K8',2,2,1,3,3
109,109,red,9.6,5,'Znquet',2,3,2,3,3
110,110,red,9.5,5,'Kvigion di Zontal Red',2,2,1,3,3
111,111,red,9.2,5,'Mnatage 2022',2,2,1,3,3
112,112,red,9.5,5,'Clas Durtanganc 2020',2,2,1,3,3
113,113,red,9.5,5,'Fquak 2020',2,2,2,3,3
114,114,red,9.6,5,'Sprinago',2,3,2,3,3
115,115,red,9.5,5,'Q',2,2,1,3,3
116,116,red,9.4,5,'N19',1,1,1,3,3
117,117,red,9.4,5,'HGieraw 2021',2,3,3,3,3
118,118,red,10.0,5,'CRowssed Vineyard Pinot Noir 2018',1,1,1,3,3
119,119,red,10.2,6,'JTagne 2020',2,2,1,3,3
120,120,red,10.5,6,'R0past Pe Mobriteleau Prezahe Rocke Valley Cecherss',2,2,1,4,2
121,121,red,10.3,6,'UrnnP',2,2,1,3,3
122,122,red,10.1,5,'Pelles Vineyard Fitomags Al POtGreyan 2006',2,2,2,3,3
123,123,red,10.1,5,'HMefilles Veledise 2018',2,2,2,3,3
124,124,red,9.3,5,'L Coun Rieja 2015',2,2,1,3,3
125,125,red,9.3,6,'Es de Chteau Maurly Pate Zafftrin',2,2,1,3,3
126,126,red,9.6,5,'Res 1396',2,2,1,3,3
127,127,red,9.2,4,'Mocthio Shiraz 2020',2,2,1,2,4
128,128,red,10.0,6,'Rourg Magbet Grand 2020',2,2,1,3,3
129,129,red,9.5,5,'VIm Atterdi Znefamunjo 2018',2,2,2,3,3
130,130,red,10.2,5,'Vinone Les Moinegtoresto 2010',1,2,1,3,3
131,131,red,9.0,4,'Jon Les Chamsers Vineyard Pinot Noir',2,2,1,3,3
132,132,red,10.4,6,'Batrom Blenella de Mugliomanne 2019',1,2,1,3,3
133,133,red,9.1,4,'Mnat Neir 2020',2,2,1,3,3
134,134,red,9.2,6,'Cuberne Sauvignon 2019',2,2,1,3,3
135,135,red,9.2,6,'Reffirm 2019',2,2,1,3,3
136,136,red,11.5,6,'Ode Duyfallas Vineyard ParreKPhian Hermotage 2019',2,2,1,2,4
137,137,red,9.5,5,'FilazDo Rosse 2019',2,2,1,3,3
138,138,red,9.5,5,'KPignin Grand Cabernet Sauvignon 2020',1,2,1,2,4
139,139,red,9.5,5,'Xfadkawo Amarone Sunetsian 2021',2,2,1,3,3
140,140,red,10.5,6,'Barki In Pastrand Vinay Noir VQA',2,2,1,3,3
141,141,red,9.6,5,'OC 2020',1,2,1,4,2
142,142,red,9.5,5,'Latani Bovolo Gomano Melbac 2020',2,3,1,4,2
143,143,red,9.5,5,'J Berishetermorro 2020',2,3,1,4,2
144,144,red,9.3,5,'Cdeauxs Syrah 2022',2,2,1,4,2
145,145,red,9.3,5,'Edress 2019',2,2,1,3,3
146,146,red,9.3,6,'Mnita Sylah 2019',2,2,1,3,3
147,147,red,9.7,5,'Dx Barolo 2017',3,3,3,3,3
148,148,red,9.2,5,'La Ruseraule Barolo 2018',2,2,2,3,3
149,149,red,9.7,5,'ICla Clrando Class Malbecti Sprico Oras Red',2,2,1,4,2
150,150,red,9.5,5,'Fles Cabernet Sauvignon',2,2,2,3,3
151,151,red,9.5,5,'Ffond Dorgea Pabernet Sauvignon 2009',2,2,2,3,3
152,152,red,9.4,5,'Jellarr Lesfinay 201T',2,2,2,4,2
153,153,red,9.8,6,'Appalcalo 2019',1,1,1,3,3
154,154,red,9.7,5,'Ex 2019',2,2,1,3,3
155,155,red,9.7,5,'QMabretre Shraht Cobernet Sauvignon Louroud 2018',2,2,1,3,3
156,156,red,9.4,5,'Wite Granec VQA',2,2,2,3,3
157,157,red,10.2,5,'Nianol 2017',2,2,1,3,3
158,158,red,10.1,6,'GPra di Montalcino 2016',4,4,2,3,3
159,159,red,13.0,7,'Mellot 2020',1,1,1,1,5
160,160,red,11.4,4,'Zinges Efdate Pinot Noir 2020',1,2,1,2,4
161,161,red,10.3,7,'VQA',3,3,2,2,4
162,162,red,9.3,5,'VQA',3,3,5,3,3
163,163,red,9.5,5,'Willage 2018',1,2,1,2,4
164,164,red,9.2,5,'YWilous Shiraz 2019',2,2,2,3,3
165,165,red,9.2,6,'Mable Maxbuces ShitazEsaue Tre Damaine de Boneloss ',2,2,2,3,3
166,166,red,10.8,7,'XJ Alengoto Malbec 2020',5,5,2,4,2
167,167,red,10.8,7,'Flac 2018',5,5,2,4,2
168,168,red,9.3,5,'YUnajon 2019',2,2,2,3,3
169,169,red,9.4,5,'Cabernet Sauvignon 202021',2,2,2,4,2
170,170,red,10.5,7,'VQA',4,4,1,3,3
171,171,red,10.0,6,'Oc',2,2,1,4,2
172,172,red,10.2,6,'Crieria EGP',4,4,2,3,3
173,173,red,10.1,5,'Buernet Sauvignon Sauvignon 2020',2,2,2,3,3
174,174,red,9.8,6,'Calepte Crizon Red AOC LAmbicesla 2019',2,2,1,4,2
175,175,red,11.0,5,'AjTGVoir 2020',2,3,2,3,3
176,176,red,9.1,5,'Fpolinela 2010',2,2,1,4,2
177,177,red,9.7,5,'Vinis Noir VQA',2,2,1,3,3
178,178,red,9.5,5,'Lsoof Coureuras 2017',2,2,2,4,2
179,179,red,9.4,6,'Exmardino Bronello di Montalcino 2014',2,2,2,3,3
180,180,red,9.4,5,'La della Valpolicella Minola 2017',2,2,2,3,3
181,181,red,9.5,5,'AppanTper Agios Cabernet Sauvignon KPr',1,2,1,2,4
182,182,red,10.0,6,'Uzzare 2021',2,3,1,3,3
183,183,red,10.4,4,'Trunglo Masurld Colla Valpolicella Reservi 2019',2,3,2,3,3
184,184,red,10.5,6,'Wanse Shiraz Organic',2,2,2,3,3
185,185,red,9.8,5,'Trendick Cabprnet Pran Rhi 2011',3,3,1,4,2
186,186,red,10.5,6,'Kshe Pastignal Sel Sourasuna Riserve Noir VQA',2,2,2,3,3
187,187,red,11.0,5,'FAl',2,2,1,3,3
188,188,red,12.2,7,'Wyro Mes Orgenic 2018',1,1,1,1,5
189,189,red,9.9,6,'JTEpalbuciau Chianti Nopazzo Nego Borono Kustr 2020',2,2,1,3,3
190,190,red,9.6,6,'Rbronge Ctotacce 2019',2,3,2,4,2
191,191,red,11.0,5,'ITrone Anemaline Blend',2,2,1,3,3
192,192,red,9.0,6,'MX2021',2,2,1,4,2
193,193,red,9.0,6,'Cankie Bacc 9O5 Esire Antionaue Ryserva 2018',2,2,1,3,3
194,194,red,9.0,6,'XGSauvignon 2022',2,2,1,3,3
195,195,red,9.2,6,'Yer Cosse GiauxFalm Cabernet Sauvignon 2020',2,2,1,3,3
196,196,red,9.0,6,'Luprema finge Raserva 2012',2,2,1,3,3
197,197,red,9.0,6,'J Bourgulanico 2019',2,2,1,4,2
198,198,red,10.9,6,'OZk Joshn HaurdBourisud Vineyard Reserve Cdat Welle',4,4,2,3,3
199,199,red,9.8,6,'Yerti Supicious Souites Tounttia Carnun 2018',2,2,3,3,3
200,200,red,9.2,7,'MTherizg Shiraz 2021',5,5,2,4,2
201,201,red,9.2,7,'K20',5,5,2,4,2
202,202,red,9.9,6,'Fa Vignes Terrhers Xineyards Crine 2017',2,2,1,3,3
203,203,red,9.5,5,'JEs Wines Ed 2018',2,2,1,3,3
204,204,red,9.3,5,'Paule Chianti Reservi Mornt Cabernet Sauvignon 2020',2,2,1,4,2
205,205,red,9.8,6,'Herlot VQA',2,2,1,3,3
206,206,red,9.9,6,'MLoth Biewa 2018',2,2,1,3,3
207,207,red,10.0,6,'Rino Al Piroriago Reserva 2019',4,3,2,3,3
208,208,red,9.9,6,'Etto Pinot Noir 2120',2,2,1,3,3
209,209,red,10.5,5,'Ubboon 2005',4,4,1,4,2
210,210,red,9.5,5,'Shighom Knfandamase 2020',2,2,1,3,3
211,211,red,9.9,6,'Rgeary 2019',2,2,1,3,3
212,212,red,9.3,5,'Blento',2,2,2,5,1
213,213,red,9.2,5,'De Grava Vellas 2016',3,3,1,4,2
214,214,red,9.2,5,'EsXMonque Vignes Les 2020',1,2,1,3,3
215,215,red,10.5,7,'Hilligagerna 2019',3,3,2,4,2
216,216,red,9.3,5,'Q2020',2,2,2,3,3
217,217,red,9.4,4,'Abrento Seleci 2019',2,2,1,3,3
218,218,red,10.0,5,'Gde Syren 2017',2,2,1,3,3
219,219,red,9.3,5,'Dy Pinota Pognitino Ringrazci 2018',2,2,2,3,3
220,220,red,10.9,5,'H Zintar KTX9',4,4,1,3,3
221,221,red,10.2,7,'Xmo Roch Ridgue Ca0Malber 2020',4,4,1,3,3
222,222,red,9.8,4,'Cainelle 2022',2,2,1,5,1
223,223,red,12.8,8,'Neirat 2020',2,2,2,4,2
224,224,red,9.4,6,'Ov',1,2,1,5,1
225,225,red,9.4,5,'N18',2,2,1,4,2
226,226,red,9.4,6,'YJandum The LeYFouraSurs Pinot Noir',1,2,1,5,1
227,227,red,9.3,6,'YCabernet Sauvignon',4,4,1,5,1
228,228,red,9.1,5,'Q KP',2,2,1,5,1
229,229,red,9.8,5,'Suttar Barilo Al Tesco Orginic',3,3,2,5,1
230,230,red,9.8,5,'Roch Bourto 2019',3,3,2,5,1
231,231,red,10.3,6,'Shiry Nera d Rco Rosare Vulesho 2010',4,4,3,3,3
232,232,red,10.3,6,'Tente Cabernet Sauvignon 2020',2,2,2,4,2
233,233,red,10.6,7,'YQ2021',2,3,2,3,3
234,234,red,10.6,7,'XZirnes Vignes SolazTobo 2019',2,3,2,3,3
235,235,red,10.3,6,'Avignon 2020',3,3,2,4,2
236,236,red,10.1,6,'Y Redicherahe Cabernet Sauvignon 2018',2,2,1,3,3
237,237,red,9.5,5,'Pra 2021',4,4,1,4,2
238,238,red,9.9,5,'Via Lab 2020',3,4,3,4,2
239,239,red,9.6,5,'Vigle Merlot 2019',2,2,1,3,3
240,240,red,9.7,5,'QA',2,2,1,4,2
241,241,red,9.6,5,'Braux 2021',1,2,1,3,3
242,242,red,10.7,6,'WShivilly Vineyard Haptsos Cabernet Sauvignon 2019',2,2,1,3,3
243,243,red,10.1,6,'MDGrabernat 2018',4,4,1,2,4
244,244,red,10.0,5,'Cla di Mancahic 2021',2,2,1,4,2
245,245,red,9.2,5,'Ox',3,3,2,3,3
246,246,red,9.3,6,'P0',3,3,1,4,2
247,247,red,9.4,5,'Jetra Gato Cabernet Sauvignon 2018',2,2,1,3,3
248,248,red,9.5,6,'Rsimian Reserve Pinot Noir VQA',2,2,1,3,3
249,249,red,9.3,6,'Berrar 2020',3,3,1,4,2
250,250,red,9.4,6,'ACbremik Ple di Bondacce 2020',2,2,2,3,3
251,251,red,9.5,6,'Tteplinguno Sangles Moctle 2019',3,3,2,4,2
252,252,red,9.4,5,'X3',2,3,2,4,2
253,253,red,11.0,5,'Wipjan Cabernet Sauvignon 2019',2,2,2,3,3
254,254,red,11.0,6,'KInja Lit Higli Bourle Rebernet Sauvignon 2020',2,2,2,3,3
255,255,red,10.1,5,'JnGSautigno 2017',3,3,3,5,1
256,256,red,10.4,6,'I The Follentales Zinfald Mentillon Cabernet Franc ',3,3,2,4,2
257,257,red,11.5,7,'Or Montes Lavillen Vineyard Dogne',3,3,2,4,2
258,258,red,10.4,6,'EDignon 2019',3,3,2,4,2
259,259,red,11.5,7,'Harzet 2019',3,3,2,4,2
260,260,red,9.7,5,'Lazola Riserva 2021',3,3,2,5,1
261,261,red,9.3,5,'Cbeau de Galbec 2018',2,2,1,4,2
262,262,red,9.5,6,'Herrit Boyley Orgesiol KPo Vinto Reserva 2019',3,3,3,4,2
263,263,red,9.7,6,'Smoi Barbarescora 2012',5,5,2,4,2
264,264,red,9.5,5,'MRoburges Shiraz 2017',3,3,1,3,3
265,265,red,9.4,6,'DotM Wine Finesard Pre Bes Cabernet Sauvignon Sauvi',2,2,2,5,1
266,266,red,11.0,5,'Ut Kos 2017',2,3,2,3,3
267,267,red,11.7,7,'Afferit Pinot Noir',2,2,1,3,3
268,268,red,12.5,6,'Vel Serees Scuve Vineyard Lot Cabernet Frencle 2020',3,3,1,2,4
269,269,red,10.3,5,'YZiurgero 2016',2,2,2,4,2
270,270,red,11.5,6,'Gra 2016',4,4,3,4,2
271,271,red,9.8,7,'XXJos Noir THervente Ter Cabernet Sauvignon 2017',4,4,2,4,2
272,272,red,9.2,6,'JLuxapulla 2018',4,4,2,4,2
273,273,red,11.3,6,'WViernes Vigesansiom Cteaune Saniglotono Argelote D',4,3,1,3,3
274,274,red,10.7,6,'Note Winervacs Rec Cabernet Sauvignon 2019',4,4,2,4,2
275,275,red,9.9,5,'Wiaco Il Castolo Ba Redu Vel Piola Eppesaro Barolo ',1,2,2,3,3
276,276,red,12.3,7,'Zontame 2019',1,2,1,3,3
277,277,red,12.0,6,'Tores Cabernet Sauvignon',5,5,2,4,2
278,278,red,10.0,6,'Brres JeseSyeries Tommer Cabernet Fren Ripesare Val',3,3,2,4,2
279,279,red,9.4,6,'Ex 2021',2,3,1,4,2
280,280,red,9.9,6,'TkhiesssBe Swier 2019',3,4,2,4,2
281,281,red,9.4,6,'Ok Segna Escayo DOC 2019',2,3,1,4,2
282,282,red,9.3,5,'Y14',2,2,1,4,2
283,283,red,12.8,6,'Yassi VTlas Old Vines Beauro de Montapelcia',1,2,1,2,4
284,284,red,11.0,5,'YBrney Tefferthino 2019',4,4,3,4,2
285,285,red,11.7,7,'J65 Shiraz Krin Mestivoti Salbic 2016',4,4,2,4,2
286,286,red,10.4,7,'Rys Quvennze 2019',4,4,2,4,2
287,287,red,9.4,5,'P2021',2,2,2,3,3
288,288,red,9.9,6,'UWignon Blend 2017',2,3,2,4,2
289,289,red,10.0,5,'Cutegu Carmingle 2018',4,4,2,4,2
290,290,red,10.2,5,'Pinomada Vella 2015',4,4,2,3,3
291,291,red,11.8,6,'Pianot Red',3,3,1,4,2
292,292,red,9.0,5,'Hontage 2020',4,3,2,4,2
293,293,red,12.0,7,'Thi Alediei Vintoaux 2018',3,3,1,3,3
294,294,red,9.9,5,'Lrote Le Presile Red 2019',1,2,1,3,3
295,295,red,8.7,6,'OlCastella Classico Supervige SVirgzes 2018',2,2,1,3,3
296,296,red,10.6,6,'Mnet 2017',3,3,2,3,3
297,297,red,9.2,5,'E Leserver Viglot VQA',2,2,2,3,3
298,298,red,11.0,6,'HBlame 2017',4,4,2,4,2
299,299,red,12.0,7,'NKbougetavi Raserva Fisce 2020',3,3,1,3,3
300,300,red,10.8,6,'In Barolia 2020',2,2,2,3,3
301,301,red,9.4,6,'Coss Gignot Seligel Cabernet Sauvignon 2020',2,2,2,3,3
302,302,red,9.4,6,'JEsciand Sotfibbo 2017',2,2,2,3,3
303,303,red,9.4,6,'JHWilliones Les Silldosso Barbroch NoivBoss 2020',2,2,2,3,3
304,304,red,9.2,5,'XPCon Grano 2018',2,2,2,3,3
305,305,red,9.7,6,'Gle Mecqui 2015',2,2,1,4,2
306,306,red,9.2,6,'GQA',2,2,2,3,3
307,307,red,9.6,6,'Whilet Fino Nosio Serrot Moulabernit Sauvignon Sauv',2,2,2,3,3
308,308,red,9.2,6,'Jha Fruch 1er Cru Urinono KRhirizamarili 2018',2,2,2,3,3
309,309,red,10.0,7,'JBrourgle 2017',3,3,2,4,2
310,310,red,12.9,8,'Agin Liphtior Gattila 2021',1,1,1,1,5
311,311,red,9.5,5,'VQAnanoria Classice Banbergio Laso Notheerdid 2020',3,3,1,3,3
312,312,red,9.1,5,'Fznoum Cruminic 2020',3,3,2,3,3
313,313,red,9.9,5,'D45 Noir 2020',5,4,2,4,2
314,314,red,11.0,6,'Ukek Riserva MEnquetote Pinot Noir',4,4,2,4,2
315,315,red,11.0,6,'UrstoM 2017',4,4,2,4,2
316,316,red,9.4,5,'Barolia Cabernet Malcco Barbbourito Santino Risera ',2,3,1,4,2
317,317,red,10.8,6,'KLin Moughat 2019',2,2,2,2,4
318,318,red,10.5,6,'Marn Blackond Countain 2019',4,4,3,4,2
319,319,red,10.5,6,'I Do Luse Cabernet Sauvignon 2020',4,4,2,4,2
320,320,red,9.1,5,'Hayl Basogo 2019',2,2,1,4,2
321,321,red,10.1,6,'Lho dellina Marran 2019',3,2,1,2,4
322,322,red,10.8,6,'Les Domay 1er Cru 2018',3,3,2,3,3
323,323,red,10.8,7,'Fertin Gar Brunello di Montalcino 2017',4,4,2,4,2
324,324,red,9.5,6,'Chambur Classico 2015',3,3,2,4,2
325,325,red,9.5,5,'VQA',3,3,2,4,2
326,326,red,9.3,5,'GAnt LessimuCated 2017',2,2,1,3,3
327,327,red,9.5,5,'A121',3,3,2,4,2
328,328,red,11.7,6,'Oct Noir 2020',4,4,2,3,3
329,329,red,10.5,5,'Aux Reserve Cabernet Syuraz 2019',2,2,2,3,3
330,330,red,9.9,5,'AvAges OIja',1,2,1,3,3
331,331,red,11.8,7,'OMMonder 14M Meraus Cotefard Cabernet Merlot',3,3,3,3,3
332,332,red,12.3,7,'Cono Ner',1,1,2,2,4
333,333,red,10.9,5,'EdOrd StemberdanMer T76 Dra Lanot 2020',2,2,1,3,3
334,334,red,11.0,7,'Niinano Bruer de Tenus La dz Valdelicalla Classico ',3,3,1,3,3
335,335,red,10.9,5,'OVgne Nopaloagion Moubel Cabernet Sauvignon 2020',2,2,1,3,3
336,336,red,12.3,7,'Untito Amtass Malbec 2020',1,1,2,2,4
337,337,red,11.4,6,'Pros 2020',1,1,1,2,4
338,338,red,10.6,6,'Lanse 2020',3,3,1,3,3
339,339,red,9.3,5,'Ubbuil Vinoyard 14U Cerres Drais Reserve',3,3,1,2,4
340,340,red,10.4,6,'Vine 2020',5,5,2,4,2
341,341,red,11.0,7,'Utreti Alarosse Gablle di Mactella 2015',3,3,1,3,3
342,342,red,9.2,5,'Puiglssool Reserva 2018',2,2,2,4,2
343,343,red,12.8,6,'G021',4,4,2,2,4
344,344,red,9.5,5,'Ad Ces Grand 2019',4,4,2,4,2
345,345,red,9.9,6,'HIlcJeni Montetone Am Coronio della Valpolicella',3,3,3,5,1
346,346,red,9.5,5,'NOr',4,4,2,4,2
347,347,red,10.2,6,'Q0',2,2,3,3,3
348,348,red,11.2,6,'X Cabernet Sauvignon 2019',4,4,2,4,2
349,349,red,9.9,6,'Mance 2016',3,3,3,5,1
350,350,red,9.3,5,'Rigonza 2018',2,2,1,2,4
351,351,red,9.8,8,'Qua Spock Lose Pintrall Cobernet Sauvignon 2016',5,4,2,3,3
352,352,red,11.3,6,'Shitvillina 2019',4,4,2,3,3
353,353,red,11.6,7,'AN19',3,3,2,3,3
354,354,red,12.5,7,'Cle de Tountiano Conn Chasille VIII 2018',1,1,1,1,5
355,355,red,10.1,6,'Evres VQA',3,3,1,3,3
356,356,red,10.5,5,'ThBra Mardacha 2021',4,4,4,4,2
357,357,red,10.2,6,'Esscorm Maco Cabernet Sauvignon',2,3,1,3,3
358,358,red,10.8,6,'Knet Smevage 2019',4,4,3,4,2
359,359,red,10.8,6,'Zinito 2015',4,4,3,4,2
360,360,red,10.0,6,'Morthery Cabernet Sauvignon 2021',1,2,1,3,3
361,361,red,11.2,7,'Bahnero 2018',4,3,1,4,2
362,362,red,11.1,5,'XPphillonu Pinot Noir Serigne Merlltone 2019',2,2,2,2,4
363,363,red,10.3,5,'Esto 2017',3,3,1,3,3
364,364,red,9.6,5,'Noira DOl Linga Millz Vineyards Bechal 2019',3,3,2,4,2
365,365,red,11.2,7,'Fillis Pinot Noir 2020',4,3,1,4,2
366,366,red,9.0,3,'O',4,4,2,4,2
367,367,red,11.3,6,'Thereac 2017',3,3,2,3,3
368,368,red,9.3,5,'G2019',2,2,1,4,2
369,369,red,11.8,5,'IGrainu Cabernet Franc Cabernet Sauvignon Anesto4 C',4,4,2,3,3
370,370,red,9.0,5,'KP',3,2,3,4,2
371,371,red,9.2,6,'Fars The Bleuy 1817',4,4,2,4,2
372,372,red,9.7,5,'QO',3,3,1,5,1
