name,type
Anthony Joseph Vidal Reserve Sauvignon Blanc 2022,white-wine
Antica Block A26 Vineyard Chardonnay 2020,white-wine
Ara Single Estate Sauvignon Blanc 2021,white-wine
Araldica Brachetto DAcqui DOCG Spumante,white-wine
Arboleda Chardonnay 2021,white-wine
Aresti Trisquel Gran Reserva Sauvignon Blanc 2020,white-wine
Argento Estate Bottled Chardonnay,white-wine
Argento Estate Bottled Pinot Grigio,white-wine
Argot Estate Vineyard Chardonnay 2016,white-wine
Argyros Assyrtiko 2022,white-wine
Aria White Muscat Of Tyrnavos 2022,white-wine
Armand de Brignac Ace of Spades Brut Gold whitewine,white-wine
Armand Hurst Brand Slection de Grains Nobles Pinot Gris 2017,white-wine
Arniston Bay Sauvignon Blanc,white-wine
ARONLEON SOLO BLANCO ORGANIC 2022,white-wine
Artemis Karalolego Terra Nera Assyrtiko Dry White Cyclades 2022,white-wine
Arterberry Maresh Dux Vineyard Chardonnay 2017,white-wine
Arthur Metz Horizon Riesling 2021,white-wine
Ashkar Chardonnay 2019,white-wine
Ashkar Sauvignon Blanc 2019,white-wine
Aslina Chardonnay 2021,white-wine
Astica ChardonnayChenin,white-wine
Astoria Prosecco,white-wine
Astrolabe Marlborough Chardonnay 2019,white-wine
Atlantis Dry White 2022,white-wine
Attems Cicinis 2021,white-wine
Attems Pinot Grigio 2022,white-wine
Auntsfield Single Vineyard Sauvignon Blanc 2022,white-wine
Auntsfield South Oaks Barrel Fermented Sauvignon Blanc 2020,white-wine
Aveleda Loureiro 2021,white-wine
Aveleda Solos de Granito Alvarinho,white-wine
Aveleda Vinho Verde,white-wine
Aveleda Vinho Verde Fonte,white-wine
Avondale Anima Chenin Blanc 2019,white-wine
milie Laurance Brut Crmant de Loire,white-wine
konomierat Rebholz Kastanienbusch Riesling GG 2017,white-wine
B  G Partager Blanc,white-wine
Babich Sauvignon Blanc,white-wine
Baby Duck,white-wine
Bachelder LArdoise Niagara Chardonnay 2021,white-wine
Bachelder Warren Saunders 100 Chardonnay 2020,white-wine
Bachelder WismerWingfield Ouest Vineyard Chardonnay 2020,white-wine
Baden Gewurztraminer,white-wine
BaderMimeur Vieilles Vignes ChassagneMontrachet 2016,white-wine
Badia a Coltibuono Riserva Chianti Classico 2018,white-wine
Baettig Los Parientes Chardonnay 2020,white-wine
Baettig Seleccin Parcelas Los Primos Traiguen Chardonnay 2019,white-wine
Bailly Lapierre Rserve Brut Crmant de Bourgogne,white-wine
BaillyLapierre Chardonnay Brut Crmant de Bourgogne,white-wine
Banfi Principessa Gavia Gavi,white-wine
Banfi San Angelo Pinot Grigio 2022,white-wine
Banrock Station Chardonnay,white-wine
Banshee Ten of Cups Brut Sparkling,white-wine
Bar Dog Chardonnay,white-wine
Barefoot Bubbly Pinot Grigio,white-wine
Barefoot Chardonnay,white-wine
Barefoot Fruitscato Pineapple,white-wine
Barefoot Moscato,white-wine
Barefoot Pinot Grigio,white-wine
Baron de Hoen Rserve Pinot Gris 2021,white-wine
Baron Herzog Chardonnay KPM,white-wine
Baron Herzog Chenin Blanc KPM,white-wine
Baron Herzog Sauvignon Blanc KPM,white-wine
BaronFuent Brut Tradition whitewine,white-wine
BaronFuent Grand Millsime Brut whitewine,white-wine
Barone Montalto Pinot Grigio,white-wine
Barone Montalto Pinot Grigio Sicily IGT,white-wine
Bartenura Asti KPM,white-wine
Bartenura Moscato,white-wine
Bartenura Pinot Grigio KPM,white-wine
Bartenura Prosecco Ros KPM 2022,white-wine
Bartenura Ros Sparkling Moscato KPM With Gift Bag 2021,white-wine
Bartenura Ros Sparkling Moscato KPM With Gift Bag 2022,white-wine
Bask Lightly Sparkling Ros,white-wine
Bask Pinot Grigio,white-wine
Bask Sauvignon Blanc,white-wine
Batasiolo Bosc Dla Rei Moscato DAsti DOCG,white-wine
Bella Terra Blanc de Blanc 2017,white-wine
Bella Terra Sauvignon Blanc 2021,white-wine
Benefizio Pomino Riserva 2018,white-wine
Benjamin Bridge Mthode Classique Brut Ros Sparkling,white-wine
Benjamin Bridge Mthode Classique Brut Sparkling,white-wine
Benjamin Bridge Mthode Classique Reserve Brut Sparkling 2013,white-wine
Benjamin Bridge Nova 7 Sparkling,white-wine
Benjamin Bridge Tidal Bay White 2022,white-wine
Benvenuti Malvazija 2019,white-wine
Benziger Sauvignon Blanc 2021,white-wine
Bergstrm Sigrid Chardonnay 2016,white-wine
Beringer Founders Estate Chardonnay,white-wine
Beringer Main  Vine Chardonnay,white-wine
Beringer Main  Vine Pinot Grigio,white-wine
Beringer Napa Valley Chardonnay,white-wine
Beringer Private Reserve Chardonnay 2021,white-wine
Bernard Margez Ariela Branco Douro 2017,white-wine
Bernkasteler Badstube Riesling Auslese 2020,white-wine
Beronia Rueda Verdejo 2022,white-wine
Bersano Gavi di Gavi 2021,white-wine
Besini Tsinandali 2018,white-wine
Bestheim Riesling Grand Cru Mambuourg 2019,white-wine
Beurton  Fils Rserve 424 Brut whitewine,white-wine
Beyra Quartz Reserva White DOC,white-wine
Biblia Chora Areti White 2020,white-wine
Bien Nacido Vineyards Chardonnay 2019,white-wine
BillaudSimon Les Preuses Chablis Grand Cru 2020,white-wine
BillaudSimon Mont de Milieu Chablis 1er Cru 2020,white-wine
Bischfliche Weingter Trier Bernkasteler Feinherb Riesling 2020,white-wine
Bischfliche Weingter Trier Kanzemer Altenberg Feinherb Riesling Kabinett 2020,white-wine
Bischfliche Weingter Trier Ruwer Kaseler Nieschen Feinherb Riesling Sptlese 2020,white-wine
Black Hills Alibi 2022,white-wine
Black Tower Rivaner,white-wine
Blank Canvas Abstract Sauvignon Blanc 2019,white-wine
Blason de Bourgogne SaintVran 2021,white-wine
Bleasdale Vineyards The Potts Family Sparkling Shiraz,white-wine
Blomidon Cuve LAcadie Brut Sparkling,white-wine
Blu Giovello Pinot Grigio,white-wine
Blu Giovello Prosecco,white-wine
Blue Canyon Chardonnay 2021,white-wine
Blue Nun Rivaner,white-wine
Bodacious Bubbles,white-wine
Bodacious Moscato,white-wine
Bodacious Smooth White,white-wine
Bodega del Abad Cimabella Godello 2021,white-wine
Boeckel Riesling 2021,white-wine
Boekenhoutskloof Semillon 2020,white-wine
Boizel Brut Rserve whitewine,white-wine
Boll  Cie Extra Brut Blanc de Blancs Grand Cru whitewine 2010,white-wine
Bolla Pinot Grigio Delle Venezie DOC,white-wine
Bollinger Brut Ros whitewine,white-wine
Bollinger La Grande Anne Brut whitewine 2014,white-wine
Bollinger La Grande Anne Brut Ros whitewine 2014,white-wine
Bollinger Special Cuve Brut whitewine,white-wine
Bollini Pinot Grigio,white-wine
Bonfadini Carpe Diem Satn Franciacorta,white-wine
Bonfadini Nobilium Brut Franciacorta,white-wine
Bonpas Luberon Grande Reserve De Challieres,white-wine
Bonterra Organic Chardonnay,white-wine
Bonterra The Roost Chardonnay 2020,white-wine
Bord Elegance Laudun Ctes du RhneVillages Blanc 2021,white-wine
Borne of Fire Chardonnay 2019,white-wine
Boschendal 1685 Chardonnay,white-wine
Boschendal Appellation Series Sauvignon Blanc 2022,white-wine
Boschendal Cap Classique Brut Ros Sparkling,white-wine
Boschendal Sommelier Selection Chenin Blanc 2021,white-wine
Bottega Accademia Rose Nuance DOC Venezia,white-wine
Bottega Gold Prosecco,white-wine
Bottega Petalo Il Vino DellAmore Moscato,white-wine
Bottega Pink Gold Ros Prosecco,white-wine
Bottega Prosecco Rose DOC Spumante Brut Veneto,white-wine
Bottega Vino Dei Poeti Brut Rose,white-wine
Bottega Vino Dei Poeti Prosecco DOC,white-wine
Bouchard Pre  Fils ChassagneMontrachet Blanc 2020,white-wine
Bouchard Pre  Fils Clos SaintLandry Beaune 1er Cru 2019,white-wine
Bouchard Pre  Fils CortonCharlemagne Grand Cru 2019,white-wine
Bouchard Pre  Fils Le Clous Meursault 2020,white-wine
Bouchard Pre  Fils MaconLugny SaintPierre,white-wine
Bouchard Pre  Fils Meursault 2019,white-wine
Bouchard Pre  Fils PouillyFuisse,white-wine
Bouchon Granito Semillon 2019,white-wine
Bougrier Vouvray Chenin Blanc,white-wine
Boutari Moschofilero White,white-wine
Boya Sauvignon Blanc 2023,white-wine
Brachetto dAcqui Spumante DOCG 2020,white-wine
Brancott Estate Marlborough Sauvignon Blanc,white-wine
Bravium Russian River Chardonnay 2021,white-wine
Brndlmayer Kamptaler Terrassen Grner Veltliner 2022,white-wine
Bread  Butter Chardonnay,white-wine
Bread  Butter Prosecco,white-wine
Bread  Butter Sauvignon Blanc,white-wine
Bricklayers Reward Viognier 2020,white-wine
Brights House Dry White,white-wine
Brights House White,white-wine
Brights Maria Christina White,white-wine
Brights President Dry Sparkling,white-wine
Brilla Prosecco,white-wine
Brilla Prosecco Rosato DOC Spumante 3x200ml,white-wine
Brilla Ros Prosecco,white-wine
Broken Stone Chardonnay VQA,white-wine
Brunch White Field Blend VQA,white-wine
Burning Kiln Harvest Party White VQA,white-wine
Burning Kiln Horse and Boat Riesling VQA,white-wine
Burnt Ship Bay Pinot Grigio VQA,white-wine
Burnt Ship Bay Sauvignon Blanc VQA,white-wine
Butterworth Dry Riesling 2021,white-wine
Byzantium Blanc 2021,white-wine
Ca Bolani Pinot Grigio 2021,white-wine
Ca del Bosco Cuve Prestige Extra Brut Franciacorta,white-wine
Cabral Reserva 2020,white-wine
Cakebread Cellars Sauvignon Blanc 2022,white-wine
Calera Chardonnay 2021,white-wine
Calera Mt Harlan Chardonnay 2019,white-wine
California Roots Chardonnay,white-wine
Caliterra Sauvignon Blanc Reserva,white-wine
Callaway Cellar Selection Chardonnay,white-wine
Calmel  Joseph Villa Blanche Chardonnay,white-wine
Calmel  Joseph Villa Blanche Viognier,white-wine
Calvet Brut Celebration Rose,white-wine
Cambria Katherines Vineyard Chardonnay 2021,white-wine
Cannonball Chardonnay 2022,white-wine
Cantina Giuliano Costa Toscana Vermentino IGT KP 2022,white-wine
Cantina Giuliano Rosato Costa Toscana KP 2021,white-wine
Cantine di Dolianova Prendas Vermentino di Sardegna 2021,white-wine
Canyon Road Chardonnay,white-wine
Cap Royal Bordeaux Sauvignon Blanc 2021,white-wine
Cape of Good Hope Altima Sauvignon Blanc 2021,white-wine
Cape of Good Hope Serruria Chardonnay 2019,white-wine
Cape Point Isliedh 2020,white-wine
Cape Point Vineyards Noordhoek Sauvignon Blanc 2022,white-wine
Cape Rock White Blend 2020,white-wine
CapuanoFerreri La Comme Santenay 1er Cru 2020,white-wine
CapuanoFerreri Vieilles Vignes Santenay 2020,white-wine
Carlo Rossi California White,white-wine
Carmel Buzz Peach Moscato KPM 2021,white-wine
Carmes de Rieussec 2016,white-wine
Carmes de Rieussec 2018,white-wine
Carpinus Late Harvest Furmint 2017,white-wine
Casa Americo Encruzado White 2021,white-wine
Casa das Gaeiras White Maria Gomes DOC 2019,white-wine
Casa das Hortas Cabeca de Gaio White 2020,white-wine
Casa Dea Deas Cuve Sparkling VQA,white-wine
Casa Dea Embrace Sparkling Riesling VQA,white-wine
Casa Dea Melon de Bourgogne 2021,white-wine
Casa Dea Pinot Grigio VQA,white-wine
Casa Santa Eulalia Vinho Verde Avesso 2022,white-wine
Casa Silva Cool Coast Sauvignon Blanc 2021,white-wine
CasaDea Late Harvest Pinot Grigio 2021,white-wine
CasaDea Riesling 2020,white-wine
Casal di Serra Verdicchio dei Castelli di Jesi Classico Superiore 2020,white-wine
Casal Garcia Vinho Verde DO,white-wine
Casal Thaulero Pinot Grigio IGT,white-wine
Casas del Bosque Reserva Sauvignon Blanc,white-wine
Casillero Del Diablo Pinot Grigio Reserva,white-wine
Casillero Del Diablo Reserva Chardonnay,white-wine
Casillero del Diablo Reserva Sauvignon Blanc,white-wine
Castell DOr Cava Brut Catalonia,white-wine
Castello Banfi Fontanelle Chardonnay 2019,white-wine
Castello Del Poggio Moscato,white-wine
Castillo De Almansa Organic Verdejo Sauvignon Blanc,white-wine
Catena Alta Chardonnay 2020,white-wine
Catena High Mountain Vines Chardonnay 2022,white-wine
Catena Zapata White Stones Adrianna Vineyard Chardonnay 2020,white-wine
Cathedral Cellar Chardonnay 2021,white-wine
Catherine Marshall Fermented in Clay Chenin Blanc 2021,white-wine
Cave de Beblenheim Mandelberg Gewurztraminer 2019,white-wine
Cave de Buxy Bourgogne Cte Chalonnaise Buissonnier Chardonnay,white-wine
Cave de Lugny Brut Blanc de Blancs Crmant de Bourgogne,white-wine
Cave de Lugny Cuve Millsime Brut Crmant de Bourgogne 2017,white-wine
Cave De Lugny MaconLugny St Pierre,white-wine
Cave de Ribeauvill Collection Pinot Gris 2022,white-wine
Cave de Ribeauvill Giersberger Brut Crmant dAlsace,white-wine
Cave de Turckheim Brand Riesling 2017,white-wine
Cave Spring Blanc de Blancs Brut Sparkling,white-wine
Cave Spring Chardonnay VQA,white-wine
Cave Spring CS2Go Riesling Dry VQA 4x200mL,white-wine
Cave Spring CSV Riesling 2019,white-wine
Cave Spring Estate Chardonnay Musqu 2020,white-wine
Cave Spring Estate Grown Chardonnay 2019,white-wine
Cave Spring Estate Pinot Gris 2019,white-wine
Cave Spring Estate Riesling,white-wine
Cave Spring Pinot Gris VQA,white-wine
Cave Spring Riesling Dry VQA,white-wine
Cave Spring Riesling VQA,white-wine
Cavit Collection Moscato Pavia IGT,white-wine
Cavit Collection Pinot Grigio DOC,white-wine
Cavit Collection Pinot Grigio DOC Venezie,white-wine
Cecchi La Mora Vermentino Maremma,white-wine
Cellars Wismer Vineyard Foxcroft Block Chardonnay 2020 2027,white-wine
Cellier Des Dauphins Prestige White CdRhone AOC,white-wine
Cellier Du Chateau De La Chaume Chablis,white-wine
Chamisal Chamise Chardonnay 2017,white-wine
whitewine AD Coutelas 2015,white-wine
whitewine AD Coutelas Origin Brut,white-wine
whitewine Collet Collection Prive Brut whitewine 2008,white-wine
whitewine de SaintGall Orpale Blanc de Blancs Brut Grand Cru whitewine 2002,white-wine
whitewine Ernest Rapeneau Extra Brut Limited Edition,white-wine
whitewine Faucheron Gavroy Grand Cru Adonis Extra Brut 2018,white-wine
whitewine Gaidoz Forget Brut Blanc de Noir 2015,white-wine
whitewine Gaidoz Forget Empreinte Brut Nature 2008,white-wine
whitewine Lete Vautrain Brut Zero,white-wine
whitewine Moutard Grande Cuvee,white-wine
whitewine Pommery Brut Rose,white-wine
whitewine Thinot Cuve Alain Thinot whitewine 2008,white-wine
whitewine Veuve Doussot Grande Cuvee Extra Brut,white-wine
whitewine Victoire Brut Prestige,white-wine
whitewine Victoire Brut Rose,white-wine
Chanoine Tsarine Cuve Orium Extra Brut whitewine,white-wine
Chanzy Le Bois Cassien Monopole Mercurey 1er Cru 2019,white-wine
Chanzy Les Reuchaux PulignyMontrachet 2018,white-wine
Chao da Quinta Reserva Encruzado Dao 2017,white-wine
Chapel Hill Sauvignon Blanc,white-wine
Chapoutier Belleruche CdRhone White AOC,white-wine
Charles Baker BSide Riesling 2020,white-wine
Charles Baker Ivan Vineyard Riesling 2019,white-wine
Charles Baker Picone Vineyard Riesling 2020,white-wine
Charles Baker Riesling 2019,white-wine
Charles Baker Riesling VQA,white-wine
Charles Gardet Prestige Brut whitewine 2000,white-wine
Charles Mignon Cuve Comte de Marne Brut Grand Cru whitewine,white-wine
Charles Mignon Premium Rserve Brut whitewine,white-wine
Chartron et Trbuchet PouillyFuiss,white-wine
Chartron et Trebuchet Chablis 2022,white-wine
Chateau Chizay Moscato Vegan KP 2021,white-wine
Chateau de la Chaize PouillyFuiss 2019,white-wine
Chateau de Montgueret Cremant de Loire Brut,white-wine
Chateau Haut Mayne Sauternes 2018,white-wine
Chateau Nico Lazaridi White 2021,white-wine
Chateau Ste Michelle Chardonnay 2021,white-wine
Chateau Ste Michelle Cold Creek Vineyard Chardonnay 2020,white-wine
Chteau Climens Asphodele 2019,white-wine
Chteau Clos HautPeyraguey 2017,white-wine
Chteau Coutet 2019,white-wine
Chteau dArche 2009,white-wine
Chteau de Beaucastel Vieilles Vignes Roussanne ChteauneufduPape 2021,white-wine
Chteau de Bligny Grande Rserve Brut Ros whitewine,white-wine
Chteau de Chantegrive Caroline 2016,white-wine
Chteau de la Grange Vieilles Vignes Ctes de Grand Lieu Muscadet 2021,white-wine
Chteau de Maligny Fourchaume Chablis 1er Cru 2022,white-wine
Chteau de Maligny La Marche du Roi Chablis 2022,white-wine
Chteau de Nages Hritage Blanc 2020,white-wine
Chteau de Nages JT White 2021,white-wine
Chteau des Charmes Aligot VQA,white-wine
Chteau des Charmes Barrel Fermented Chardonnay VQA,white-wine
Chteau des Charmes Brut Sparkling,white-wine
Chteau des Charmes Sauvignon Blanc VQA,white-wine
Chteau DoisyVdrines 2019,white-wine
Chteau Guiraud 2006,white-wine
Chteau Guiraud 2015,white-wine
Chteau HautBrion Blanc 2016,white-wine
Chteau HautGarriga EntreDeuxMers 2022,white-wine
Chteau La Mission HautBrion Blanc 2013,white-wine
Chteau La Mission HautBrion Blanc 2017,white-wine
Chteau La Mission HautBrion Blanc 2018,white-wine
Chteau La Nerthe Clos de Beauvenir ChteauneufduPape Blanc 2021,white-wine
Chteau la Nerthe Les Cassagnes de la Nerthe CtesduRhne 2022,white-wine
Chteau La Perrire Muscadet Svre et Maine Sur Lie 2021,white-wine
Chteau La Tour Blanche 2010,white-wine
Chteau la Truffe 2019,white-wine
Chteau LafauriePeyraguey 2005,white-wine
Chteau Laville HautBrion Blanc 2007,white-wine
Chteau Les Tourelles 2021,white-wine
Chteau Philippe le Hardi Clos de la Chaise Dieu Bourgogne Cte dOr 2020,white-wine
Chteau Rieussec 2019,white-wine
Chteau Rieussec Sauternes 2016,white-wine
Chteau Sigalas Rabaud 2008,white-wine
Chteau Suduiraut 2019,white-wine
Chteau Suduiraut Sauternes 2013,white-wine
Chteau TronquoyLalande Blanc 2018,white-wine
Chelti Estate Kisi Qvevri 2020,white-wine
Chelti Estate Tsinandali 2020,white-wine
Chiarli Castelvetro Lambrusco,white-wine
Chloe Chardonnay,white-wine
Christopher Michael Chardonnay 2021,white-wine
Chronos Brut Sparkling,white-wine
Chronos McWatters Collection Chardonnay 2020,white-wine
Ciao Pinot Grigio Organic Carton,white-wine
Ciro Amigdala Bianco 2020,white-wine
Citra Pinot Grigio Terre Di Chieti IGP,white-wine
Citra Trebbiano DAbruzzo Doc White,white-wine
CK Mondavi Chardonnay,white-wine
Clai Ottocento Bijeli 2017,white-wine
Clay Shannon El Coyote Chardonnay 2021,white-wine
Clemens Busch Marienburg GG Rothenpfad Riesling Trocken 2018,white-wine
Clemens Busch Marienburg Trockenbeerenauslese 2006,white-wine
Cline Viognier 2021,white-wine
Clos du Chteau de Bligny 6 Cpages Brut Nature whitewine,white-wine
Clos Henri Estate Sauvignon Blanc 2022,white-wine
Closson Chase The Brock Chardonnay 2021,white-wine
Closson Chase Vineyard Chardonnay VQA,white-wine
Cloudsley Foxcroft Vineyard Chardonnay 2020,white-wine
Cloudsley Twenty Mile Bench Chardonnay 2020,white-wine
Cloudy Bay Chardonnay 2019,white-wine
Cloudy Bay Sauvignon Blanc,white-wine
Codorniu Brut Clasico,white-wine
Codorniu Brut Clasico Sparkling,white-wine
Coffin Ridge Bone Dry Riesling VQA 2017,white-wine
Coffin Ridge Into the Light White,white-wine
Coffin Ridge LAcadie Blanc,white-wine
Cognac Ferrand 10 Generations,white-wine
Colio Budding Vines Reserve Pinot Gris 2021,white-wine
Colio Cellar Door Series Sauvignon Blanc,white-wine
Colio Dry White,white-wine
Colio Extra Dry White,white-wine
Colio Reserve Chardonnay 2020,white-wine
Collavini Pinot Grigio,white-wine
Collavini T Friulano 2020,white-wine
Collemassari Melacce Vermentino 2021,white-wine
Collovray  Terrier Deux Roches Rives de Longsault SaintVran 2021,white-wine
Colomba Bianca Vitese Chardonnay 2022,white-wine
Concha Y Toro Frontera Chardonnay,white-wine
Concha Y Toro Frontera Sauvignon Blanc,white-wine
Conde de Haro Brut Cava 2019,white-wine
Cono Sur Bicicleta Chardonnay,white-wine
Cono Sur Bicicleta Viognier,white-wine
Cono Sur Chardonnay Organic,white-wine
Cono Sur Sparkling Ros,white-wine
Constantia Uitsig Natura Vista 2021,white-wine
Constantia Uitsig Smillon 2020,white-wine
Constantine Solarris Blanc de Noirs Brut whitewine,white-wine
Conundrum White 2021,white-wine
Coopers Hawk Amber Skin Fermented White 2019,white-wine
Coopers Hawk Riesling VQA,white-wine
Coopers Hawk Touch VQA,white-wine
Coopers Hawk Unoaked Chardonnay VQA,white-wine
Coppola Diamond Appellation Series Chardonnay 2021,white-wine
Coppola Rosso  Bianco Chardonnay 2021,white-wine
Cordorniu Cava Limited Edition,white-wine
Cornerfield Farmer  Frenchman,white-wine
Cossy LInstant Extra Brut Blanc de Blancs 1er Cru whitewine 2015,white-wine
Cotnari Grasa de Cotnari 2020,white-wine
Cottage Block Sauvignon Blanc Riesling VQA,white-wine
COZs Pop Vital 2021,white-wine
Creekside Iconoclast Sauvignon BlancSemillon 2020,white-wine
Creekside Sauvignon Blanc VQA,white-wine
Cremant de Loire Brut Nature Leon  Jean,white-wine
CREW Chardonnay VQA,white-wine
CREW Flagship Chardonnay 2020,white-wine
CREW Gewrztraminer 2021,white-wine
CREW Posh Cuve VQA,white-wine
CREW Riesling,white-wine
CREW Sauvignon Blanc VQA,white-wine
Cristom Chardonnay 2020,white-wine
Crown Point White 2020,white-wine
Cuddy by Tawse Chardonnay 2016,white-wine
Cuilleron Condrieu LieuditVerlieu 2019,white-wine
Cupcake Chardonnay,white-wine
Cupcake Light Hearted Chardonnay,white-wine
Curtis Heritage Blanc De Blanc Sparkling White,white-wine
Curvos Loureiro 2022,white-wine
Cuvaison Estate Chardonnay 2019,white-wine
dArenberg The Hermit Crab ViognierMarsanne 2022,white-wine
dArenberg The Olive Grove Chardonnay 2021,white-wine
DOnt Poke The Bear White VQA,white-wine
Dalton Winery Canaan White KPM,white-wine
Dancing With The Stars Chardonnay,white-wine
Danzante Pinot Grigio Delle Venezie IGT,white-wine
Daou Sauvignon Blanc 2021,white-wine
Darling Sonoma Coast Chardonnay 2020,white-wine
Darting Drkheimer Nonnengarten Gewrztraminer Kabinett 2022,white-wine
David Kinor Chardonnay IGP Pays DOc KPM 2022,white-wine
De Angelis Campo di Marte Offida Pecorino 2022,white-wine
De Chanceny Brut Crmant de Loire,white-wine
De Chanceny Cremant De Loire Rose Brut,white-wine
De Martino La Blanca Semillon 2019,white-wine
De Martino Viejas Tinajas Muscat,white-wine
De Morgenzon Reserve Chenin Blanc 2020,white-wine
Deakin Estate Sauvignon Blanc,white-wine
DecelleVilla Meursault 2018,white-wine
Decoy Limited Sonoma Coast Chardonnay 2020,white-wine
Decoy Sauvignon Blanc 2021,white-wine
Dehours Pre  Fils Grande Reserve Brut whitewine,white-wine
Dehours Pre  Fils Terre Meunier Extra Brut whitewine,white-wine
Deinhard Green Label Riesling Mosel,white-wine
Del Rio Vineyard Estate Pinot Gris 2020,white-wine
Delamotte Blanc de Blancs Brut whitewine,white-wine
Delas La Galopine Condrieu 2019,white-wine
Deus SemiSparkling White,white-wine
Deux Roches Les Crays PouillyFuiss 2020,white-wine
Devils Rock Riesling 2021,white-wine
Di Profio Estate Mia Cara Vineyard Kitchen Zinc 2018,white-wine
Diablo Crystal Sauvignon Blanc,white-wine
Dievole Tenuta Le Colonne Vermentino IGT,white-wine
DirlerCad Kitterl Riesling 2018,white-wine
Disruption Chardonnay 2017,white-wine
Dog Point Sauvignon Blanc,white-wine
Dom Prignon Brut whitewine 2010,white-wine
Dom Prignon Brut Vintage whitewine,white-wine
Domaine Andau Sauvignon Blanc 2020,white-wine
Domaine Baud Les Prmices Chardonnay 2018,white-wine
Domaine Bernard Millot Cuve Alexie Meursault 2017,white-wine
Domaine BillaudSimon Les Vaillons Chablis 1er Cru 2019,white-wine
Domaine Bousquet Organic Chardonnay 2021,white-wine
Domaine Calmel  Joseph Le Penchant Rousanne Organic 2021,white-wine
Domaine Chanson Beaune Clos des Mouches 1er Cru 2019,white-wine
Domaine Chante Cigale Extrait ChteauneufduPape Blanc 2021,white-wine
Domaine Costa Lazaridi Amethystos Blanc 2022,white-wine
Domaine Costa Lazaridi Malagousia 2021,white-wine
Domaine Costa Lazaridi Malagousia 2022,white-wine
Domaine Costa Lazaridis Chateau Julia Assyrtiko 2022,white-wine
