,index,type,quality,crispness,acidity,fruitiness,sweetness,dryness
126,126,red,5,1,1,0,2,2
127,127,red,4,1,1,0,1,3
128,128,red,6,1,1,0,2,2
129,129,red,5,1,1,3,2,2
130,130,red,5,0,1,0,2,2
131,131,red,4,1,1,0,2,2
132,132,red,6,0,1,0,2,2
133,133,red,4,1,1,0,2,2
134,134,red,6,1,1,1,2,2
135,135,red,6,1,1,1,2,2
136,136,red,6,1,1,0,1,3
137,137,red,5,1,1,1,2,2
138,138,red,5,0,1,0,1,3
139,139,red,5,1,1,1,2,2
140,140,red,6,1,1,2,2,2
141,141,red,5,0,1,0,3,1
142,142,red,5,1,2,1,3,1
143,143,red,5,1,2,1,3,1
144,144,red,5,1,1,0,3,1
145,145,red,5,1,1,1,2,2
146,146,red,6,1,1,1,2,2
147,147,red,5,2,2,3,2,2
148,148,red,5,1,1,2,2,2
149,149,red,5,1,1,0,3,1
150,150,red,5,1,1,2,2,2
151,151,red,5,1,1,2,2,2
152,152,red,5,1,1,2,3,1
153,153,red,6,0,0,1,2,2
154,154,red,5,1,1,1,2,2
155,155,red,5,1,1,1,2,2
156,156,red,5,1,1,2,2,2
157,157,red,5,1,1,1,2,2
158,158,red,6,3,3,3,2,2
159,159,red,7,0,0,0,0,4
160,160,red,4,0,1,0,1,3
161,161,red,7,2,2,2,1,3
162,162,red,5,2,2,4,2,2
163,163,red,5,0,1,0,1,3
164,164,red,5,1,1,2,2,2
165,165,red,6,1,1,2,2,2
166,166,red,7,4,4,4,3,1
167,167,red,7,4,4,4,3,1
168,168,red,5,1,1,2,2,2
169,169,red,5,1,1,2,3,1
170,170,red,7,3,3,3,2,2
171,171,red,6,1,1,1,3,1
172,172,red,6,3,3,3,2,2
173,173,red,5,1,1,2,2,2
174,174,red,6,1,1,0,3,1
175,175,red,5,1,2,1,2,2
176,176,red,5,1,1,1,3,1
177,177,red,5,1,1,1,2,2
178,178,red,5,1,1,2,3,1
179,179,red,6,1,1,2,2,2
180,180,red,5,1,1,1,2,2
181,181,red,5,0,1,0,1,3
182,182,red,6,1,2,1,2,2
183,183,red,4,1,2,2,2,2
184,184,red,6,1,1,1,2,2
185,185,red,5,2,2,0,3,1
186,186,red,6,1,1,1,2,2
187,187,red,5,1,1,1,2,2
188,188,red,7,0,0,0,0,4
189,189,red,6,1,1,0,2,2
190,190,red,6,1,2,1,3,1
191,191,red,5,1,1,1,2,2
192,192,red,6,1,1,0,3,1
193,193,red,6,1,1,0,2,2
194,194,red,6,1,1,0,2,2
195,195,red,6,1,1,0,2,2
196,196,red,6,1,1,0,2,2
197,197,red,6,1,1,0,3,1
198,198,red,6,3,3,3,2,2
199,199,red,6,1,1,1,2,2
200,200,red,7,4,4,2,3,1
201,201,red,7,4,4,2,3,1
202,202,red,6,1,1,0,2,2
203,203,red,5,1,1,0,2,2
204,204,red,5,1,1,1,3,1
205,205,red,6,1,1,0,2,2
206,206,red,6,1,1,0,2,2
207,207,red,6,3,2,2,2,2
208,208,red,6,1,1,0,2,2
209,209,red,5,3,3,2,3,1
210,210,red,5,1,1,2,2,2
211,211,red,6,1,1,0,2,2
212,212,red,5,1,1,1,4,0
213,213,red,5,2,2,2,3,1
214,214,red,5,0,1,0,2,2
215,215,red,7,2,2,2,3,1
216,216,red,5,1,1,1,2,2
217,217,red,4,1,1,0,2,2
218,218,red,5,1,1,0,2,2
219,219,red,5,1,1,1,2,2
220,220,red,5,3,3,2,2,2
221,221,red,7,3,3,3,2,2
222,222,red,4,1,1,0,4,0
223,223,red,8,1,1,2,3,1
224,224,red,6,0,1,0,4,0
225,225,red,5,1,1,1,3,1
226,226,red,6,0,1,0,4,0
227,227,red,6,3,3,2,4,0
228,228,red,5,1,1,0,4,0
229,229,red,5,2,2,1,4,0
230,230,red,5,2,2,1,4,0
231,231,red,6,3,3,3,2,2
232,232,red,6,1,1,1,3,1
233,233,red,7,1,2,0,2,2
234,234,red,7,1,2,0,2,2
235,235,red,6,2,2,1,3,1
236,236,red,6,1,1,1,2,2
237,237,red,5,3,3,2,3,1
238,238,red,5,2,3,2,3,1
239,239,red,5,1,1,0,2,2
240,240,red,5,1,1,0,3,1
241,241,red,5,0,1,0,2,2
242,242,red,6,1,1,0,2,2
243,243,red,6,3,3,2,1,3
244,244,red,5,1,1,0,3,1
245,245,red,5,2,2,3,2,2
246,246,red,6,2,2,2,3,1
247,247,red,5,1,1,1,2,2
248,248,red,6,1,1,2,2,2
249,249,red,6,2,2,2,3,1
250,250,red,6,1,1,1,2,2
251,251,red,6,2,2,2,3,1
252,252,red,5,1,2,2,3,1
253,253,red,5,1,1,2,2,2
254,254,red,6,1,1,1,2,2
255,255,red,5,2,2,2,4,0
256,256,red,6,2,2,1,3,1
257,257,red,7,2,2,2,3,1
258,258,red,6,2,2,1,3,1
259,259,red,7,2,2,2,3,1
260,260,red,5,2,2,2,4,0
261,261,red,5,1,1,0,3,1
262,262,red,6,2,2,3,3,1
263,263,red,6,4,4,3,3,1
264,264,red,5,2,2,2,2,2
265,265,red,6,1,1,2,4,0
266,266,red,5,1,2,0,2,2
267,267,red,7,1,1,0,2,2
268,268,red,6,2,2,2,1,3
269,269,red,5,1,1,2,3,1
270,270,red,6,3,3,4,3,1
271,271,red,7,3,3,3,3,1
272,272,red,6,3,3,3,3,1
273,273,red,6,3,2,2,2,2
274,274,red,6,3,3,2,3,1
275,275,red,5,0,1,0,2,2
276,276,red,7,0,1,0,2,2
277,277,red,6,4,4,3,3,1
278,278,red,6,2,2,2,3,1
279,279,red,6,1,2,0,3,1
280,280,red,6,2,3,1,3,1
281,281,red,6,1,2,0,3,1
282,282,red,5,1,1,0,3,1
283,283,red,6,0,1,0,1,3
284,284,red,5,3,3,3,3,1
285,285,red,7,3,3,4,3,1
286,286,red,7,3,3,3,3,1
287,287,red,5,1,1,1,2,2
288,288,red,6,1,2,2,3,1
289,289,red,5,3,3,3,3,1
290,290,red,5,3,3,3,2,2
291,291,red,6,2,2,2,3,1
292,292,red,5,3,2,3,3,1
293,293,red,7,2,2,3,2,2
294,294,red,5,0,1,0,2,2
295,295,red,6,1,1,2,2,2
296,296,red,6,2,2,3,2,2
297,297,red,5,1,1,1,2,2
298,298,red,6,3,3,3,3,1
299,299,red,7,2,2,3,2,2
300,300,red,6,1,1,2,2,2
301,301,red,6,1,1,2,2,2
302,302,red,6,1,1,2,2,2
303,303,red,6,1,1,2,2,2
304,304,red,5,1,1,1,2,2
305,305,red,6,1,1,0,3,1
306,306,red,6,1,1,1,2,2
307,307,red,6,1,1,1,2,2
308,308,red,6,1,1,1,2,2
309,309,red,7,2,2,2,3,1
310,310,red,8,0,0,0,0,4
311,311,red,5,2,2,3,2,2
312,312,red,5,2,2,3,2,2
313,313,red,5,4,3,3,3,1
314,314,red,6,3,3,3,3,1
315,315,red,6,3,3,3,3,1
316,316,red,5,1,2,1,3,1
317,317,red,6,1,1,2,1,3
318,318,red,6,3,3,3,3,1
319,319,red,6,3,3,3,3,1
320,320,red,5,1,1,0,3,1
321,321,red,6,2,1,2,1,3
322,322,red,6,2,2,2,2,2
323,323,red,7,3,3,4,3,1
324,324,red,6,2,2,2,3,1
325,325,red,5,2,2,2,3,1
326,326,red,5,1,1,1,2,2
327,327,red,5,2,2,2,3,1
328,328,red,6,3,3,3,2,2
329,329,red,5,1,1,1,2,2
330,330,red,5,0,1,0,2,2
331,331,red,7,2,2,2,2,2
332,332,red,7,0,0,0,1,3
333,333,red,5,1,1,1,2,2
334,334,red,7,2,2,2,2,2
335,335,red,5,1,1,1,2,2
336,336,red,7,0,0,0,1,3
337,337,red,6,0,0,0,1,3
338,338,red,6,2,2,1,2,2
339,339,red,5,2,2,2,1,3
340,340,red,6,4,4,3,3,1
341,341,red,7,2,2,2,2,2
342,342,red,5,1,1,2,3,1
343,343,red,6,3,3,4,1,3
344,344,red,5,3,3,3,3,1
345,345,red,6,2,2,3,4,0
346,346,red,5,3,3,3,3,1
347,347,red,6,1,1,2,2,2
348,348,red,6,3,3,4,3,1
349,349,red,6,2,2,3,4,0
350,350,red,5,1,1,1,1,3
351,351,red,8,4,3,4,2,2
352,352,red,6,3,3,3,2,2
353,353,red,7,2,2,3,2,2
354,354,red,7,0,0,0,0,4
355,355,red,6,2,2,0,2,2
356,356,red,5,3,3,4,3,1
357,357,red,6,1,2,1,2,2
358,358,red,6,3,3,4,3,1
359,359,red,6,3,3,4,3,1
360,360,red,6,0,1,0,2,2
361,361,red,7,3,2,3,3,1
362,362,red,5,1,1,2,1,3
363,363,red,5,2,2,2,2,2
364,364,red,5,2,2,1,3,1
365,365,red,7,3,2,3,3,1
366,366,red,3,3,3,3,3,1
367,367,red,6,2,2,3,2,2
368,368,red,5,1,1,1,3,1
369,369,red,5,3,3,4,2,2
370,370,red,5,2,1,4,3,1
371,371,red,6,3,3,3,3,1
372,372,red,5,2,2,2,4,0
373,373,red,6,2,2,2,2,2
374,374,red,6,2,2,2,1,3
375,375,red,6,3,3,4,3,1
376,376,red,5,1,2,1,1,3
377,377,red,5,4,4,4,3,1
378,378,red,6,2,2,3,2,2
379,379,red,6,3,3,3,3,1
380,380,red,5,2,2,3,2,2
381,381,red,6,2,2,3,2,2
382,382,red,5,2,2,1,2,2
383,383,red,5,2,2,2,2,2
384,384,red,6,2,2,2,1,3
385,385,red,5,2,2,1,2,2
386,386,red,6,2,2,0,3,1
387,387,red,8,2,2,3,2,2
388,388,red,5,2,2,2,2,2
389,389,red,5,2,2,2,2,2
390,390,red,6,2,2,2,2,2
391,391,red,7,3,3,3,3,1
392,392,red,6,2,2,2,3,1
393,393,red,6,2,2,2,3,1
394,394,red,7,2,2,3,1,3
395,395,red,7,2,2,3,1,3
396,396,red,6,2,2,2,3,1
397,397,red,8,3,2,3,2,2
398,398,red,6,1,1,1,2,2
399,399,red,8,3,2,3,2,2
400,400,red,6,2,2,2,3,1
401,401,red,6,1,1,1,2,2
402,402,red,7,2,2,2,2,2
403,403,red,7,2,2,2,2,2
404,404,red,7,2,2,3,2,2
405,405,red,7,2,2,2,2,2
406,406,red,6,3,3,3,3,1
407,407,red,6,2,2,2,2,2
408,408,red,7,4,4,4,3,1
409,409,red,6,2,2,2,2,2
410,410,red,7,3,3,3,2,2
411,411,red,7,3,3,3,2,2
412,412,red,6,3,3,3,2,2
413,413,red,5,1,1,3,2,2
414,414,red,6,2,2,3,3,1
415,415,red,5,1,1,2,2,2
416,416,red,5,2,2,3,3,1
417,417,red,5,2,2,3,3,1
418,418,red,5,2,3,2,3,1
419,419,red,5,1,1,3,2,2
420,420,red,6,1,1,3,2,2
421,421,red,6,1,1,3,3,1
422,422,red,5,2,2,1,3,1
423,423,red,6,2,2,1,2,2
424,424,red,5,3,3,3,3,1
425,425,red,5,3,3,3,3,1
426,426,red,6,2,2,1,1,3
427,427,red,6,2,2,1,3,1
428,428,red,6,2,2,1,2,2
429,429,red,5,2,2,1,3,1
430,430,red,6,1,1,1,2,2
431,431,red,5,2,2,1,4,0
432,432,red,5,2,2,1,2,2
433,433,red,6,3,3,1,2,2
434,434,red,6,4,4,4,3,1
435,435,red,5,2,2,3,3,1
436,436,red,6,1,1,1,2,2
437,437,red,6,3,2,2,3,1
438,438,red,6,3,3,3,3,1
439,439,red,6,0,1,0,2,2
440,440,red,6,2,2,1,3,1
441,441,red,6,2,2,1,3,1
442,442,red,5,0,0,1,1,3
443,443,red,5,3,3,2,3,1
444,444,red,5,2,2,3,3,1
445,445,red,5,2,2,4,3,1
446,446,red,6,1,1,3,3,1
447,447,red,5,3,3,2,3,1
448,448,red,6,0,1,1,1,3
449,449,red,6,3,3,2,4,0
450,450,red,6,0,1,1,1,3
451,451,red,5,2,2,3,2,2
452,452,red,4,2,2,3,2,2
453,453,red,6,3,2,3,4,0
454,454,red,6,3,3,3,3,1
455,455,red,4,2,2,1,2,2
456,456,red,5,2,2,3,3,1
457,457,red,5,2,2,3,3,1
458,458,red,6,3,2,3,2,2
459,459,red,5,3,3,2,3,1
460,460,red,5,3,3,2,3,1
461,461,red,5,3,3,2,3,1
462,462,red,7,3,3,3,2,2
463,463,red,6,1,1,1,3,1
464,464,red,7,3,3,3,3,1
465,465,red,5,1,1,1,2,2
466,466,red,7,2,2,2,3,1
467,467,red,5,2,2,3,3,1
468,468,red,5,2,2,3,3,1
469,469,red,5,2,2,3,4,0
470,470,red,5,1,1,1,3,1
471,471,red,6,3,3,3,2,2
472,472,red,6,3,3,3,2,2
473,473,red,6,1,2,1,2,2
474,474,red,6,3,3,2,3,1
475,475,red,4,1,1,1,2,2
476,476,red,6,4,4,3,3,1
477,477,red,5,1,1,0,3,1
478,478,red,6,4,4,3,3,1
479,479,red,6,1,2,1,4,0
480,480,red,6,1,1,0,3,1
481,481,red,6,2,2,2,4,0
482,482,red,6,0,0,1,2,2
483,483,red,5,2,2,3,3,1
484,484,red,5,4,4,3,3,1
485,485,red,6,1,1,0,2,2
486,486,red,5,1,1,2,1,3
487,487,red,5,2,2,3,3,1
488,488,red,5,2,2,3,3,1
489,489,red,6,3,3,3,2,2
490,490,red,5,3,3,2,3,1
491,491,red,5,1,1,1,4,0
492,492,red,5,1,1,1,4,0
493,493,red,5,2,2,1,2,2
494,494,red,6,1,1,1,2,2
495,495,red,5,2,2,1,3,1
496,496,red,5,2,2,1,3,1
497,497,red,6,1,2,1,3,1
498,498,red,5,1,1,1,3,1
499,499,red,6,1,2,1,3,1
500,500,red,5,2,3,3,3,1
501,501,red,6,1,1,1,3,1
502,502,red,5,1,2,0,1,3
503,503,red,5,2,2,2,3,1
504,504,red,5,2,2,2,3,1
505,505,red,6,2,2,2,2,2
506,506,red,5,2,2,2,3,1
507,507,red,5,2,2,2,3,1
508,508,red,5,2,2,2,3,1
509,509,red,5,2,2,2,3,1
510,510,red,5,2,2,2,3,1
511,511,red,5,1,1,0,4,0
512,512,red,4,1,1,0,2,2
513,513,red,7,1,2,1,2,2
514,514,red,5,2,3,2,3,1
515,515,red,6,2,2,3,2,2
516,516,red,5,2,2,2,3,1
517,517,red,5,2,2,1,4,0
518,518,red,5,2,3,2,3,1
519,519,red,7,3,3,4,1,3
520,520,red,6,1,1,0,1,3
521,521,red,6,1,1,0,1,3
522,522,red,5,1,1,2,2,2
523,523,red,6,1,1,0,2,2
524,524,red,6,2,2,2,2,2
525,525,red,5,3,3,3,2,2
526,526,red,5,2,2,1,2,2
527,527,red,6,3,3,2,2,2
528,528,red,5,2,2,2,2,2
529,529,red,6,3,3,2,2,2
530,530,red,5,1,1,2,3,1
531,531,red,5,1,1,1,2,2
532,532,red,5,2,2,2,2,2
533,533,red,5,1,1,1,2,2
534,534,red,6,3,3,2,3,1
535,535,red,5,2,2,2,2,2
536,536,red,6,3,3,2,3,1
537,537,red,5,1,2,0,2,2
538,538,red,5,3,2,3,4,0
539,539,red,5,4,4,3,3,1
540,540,red,6,1,1,1,2,2
541,541,red,5,1,2,2,2,2
542,542,red,5,1,1,1,2,2
543,543,red,5,2,2,2,3,1
544,544,red,5,1,1,1,2,2
545,545,red,5,1,1,1,2,2
546,546,red,5,2,2,1,4,0
547,547,red,5,2,2,1,3,1
548,548,red,5,2,2,2,3,1
549,549,red,5,2,2,2,3,1
550,550,red,6,1,1,0,2,2
551,551,red,6,1,1,0,2,2
552,552,red,5,2,2,1,4,0
553,553,red,6,3,3,3,2,2
554,554,red,6,2,2,3,3,1
555,555,red,6,1,1,0,2,2
556,556,red,6,1,1,0,2,2
557,557,red,4,1,1,3,3,1
558,558,red,4,1,2,0,2,2
559,559,red,5,1,1,0,2,2
560,560,red,5,1,1,1,3,1
561,561,red,6,1,1,0,2,2
562,562,red,6,2,2,2,2,2
563,563,red,5,2,3,3,3,1
564,564,red,5,2,2,2,4,0
565,565,red,5,1,2,0,4,0
566,566,red,5,1,1,2,3,1
567,567,red,5,2,2,2,3,1
568,568,red,6,1,1,1,3,1
569,569,red,5,1,1,2,3,1
570,570,red,5,1,1,0,3,1
571,571,red,5,1,1,0,2,2
572,572,red,5,1,1,0,2,2
573,573,red,5,2,2,2,3,1
574,574,red,5,1,1,0,3,1
575,575,red,5,1,1,3,2,2
576,576,red,4,1,1,0,3,1
577,577,red,5,2,2,1,3,1
578,578,red,6,1,1,0,3,1
579,579,red,5,0,0,0,2,2
580,580,red,5,0,0,0,2,2
581,581,red,6,0,0,0,2,2
582,582,red,5,1,2,0,3,1
583,583,red,5,1,1,0,2,2
584,584,red,5,1,1,2,3,1
585,585,red,5,1,1,1,2,2
586,586,red,5,1,1,0,2,2
587,587,red,5,1,1,0,2,2
588,588,red,6,1,1,0,3,1
589,589,red,5,2,2,2,3,1
590,590,red,5,1,2,0,3,1
591,591,red,5,2,2,2,3,1
592,592,red,5,0,0,0,2,2
593,593,red,5,3,3,3,3,1
594,594,red,5,3,3,3,3,1
595,595,red,6,1,1,1,2,2
596,596,red,6,1,1,2,3,1
597,597,red,5,2,2,2,3,1
598,598,red,6,1,1,1,2,2
599,599,red,6,1,1,1,2,2
600,600,red,5,1,1,0,3,1
601,601,red,5,1,1,0,3,1
602,602,red,5,1,1,1,3,1
603,603,red,5,1,1,0,3,1
604,604,red,6,1,1,0,1,3
605,605,red,6,0,0,0,1,3
606,606,red,5,1,1,0,2,2
607,607,red,5,1,1,0,2,2
608,608,red,5,1,2,2,3,1
609,609,red,5,2,2,1,3,1
610,610,red,5,2,2,1,2,2
611,611,red,6,1,2,0,2,2
612,612,red,5,2,2,1,2,2
613,613,red,6,2,2,0,3,1
614,614,red,6,2,2,0,4,0
615,615,red,5,1,2,1,3,1
616,616,red,5,1,1,2,3,1
617,617,red,6,1,1,0,3,1
618,618,red,5,1,1,0,2,2
619,619,red,6,1,1,0,3,1
620,620,red,5,2,2,1,3,1
621,621,red,5,2,2,2,3,1
622,622,red,5,1,1,0,3,1
623,623,red,5,1,1,1,4,0
624,624,red,5,1,1,0,3,1
625,625,red,5,0,1,0,3,1
626,626,red,5,1,2,0,3,1
627,627,red,5,0,1,0,3,1
628,628,red,5,1,1,0,3,1
629,629,red,5,2,2,2,3,1
630,630,red,5,2,2,2,3,1
631,631,red,6,2,2,1,2,2
632,632,red,6,2,2,1,2,2
633,633,red,5,1,2,1,3,1
634,634,red,6,1,1,2,3,1
635,635,red,5,1,2,1,3,1
636,636,red,6,1,1,0,3,1
637,637,red,5,1,1,0,2,2
638,638,red,6,2,2,3,1,3
639,639,red,6,2,2,2,4,0
640,640,red,6,2,2,2,4,0
641,641,red,5,1,2,0,4,0
642,642,red,7,0,0,0,0,4
643,643,red,6,1,1,0,3,1
644,644,red,6,1,1,1,3,1
645,645,red,7,1,1,2,1,3
646,646,red,7,1,1,2,1,3
647,647,red,6,1,1,1,3,1
648,648,red,5,1,1,0,2,2
649,649,red,6,4,4,3,3,1
650,650,red,5,2,3,2,2,2
651,651,red,4,1,1,1,1,3
652,652,red,6,3,4,3,3,1
653,653,red,5,2,3,2,2,2
654,654,red,6,2,2,1,3,1
655,655,red,6,3,3,2,1,3
656,656,red,5,1,1,0,3,1
657,657,red,5,2,2,1,4,0
658,658,red,5,0,1,0,2,2
659,659,red,5,0,1,0,2,2
660,660,red,5,0,1,0,2,2
661,661,red,5,1,1,1,3,1
662,662,red,5,1,1,1,3,1
663,663,red,7,1,1,2,2,2
664,664,red,5,1,1,1,3,1
665,665,red,8,1,1,1,1,3
666,666,red,6,0,0,0,1,3
667,667,red,4,1,1,0,2,2
668,668,red,6,0,0,0,1,3
669,669,red,5,2,2,1,2,2
670,670,red,5,1,1,1,2,2
671,671,red,7,2,2,2,1,3
672,672,red,5,0,0,0,2,2
673,673,red,7,3,3,2,2,2
674,674,red,5,0,1,0,3,1
675,675,red,5,1,1,2,2,2
676,676,red,6,2,2,3,1,3
677,677,red,5,0,1,1,2,2
678,678,red,5,0,1,1,2,2
679,679,red,6,1,1,1,2,2
680,680,red,5,0,1,1,2,2
681,681,red,5,0,1,1,2,2
682,682,red,5,2,2,2,2,2
683,683,red,5,2,2,2,2,2
684,684,red,5,1,1,2,3,1
685,685,red,6,2,2,2,1,3
686,686,red,6,2,2,2,1,3
687,687,red,7,1,1,0,2,2
688,688,red,6,2,2,2,1,3
689,689,red,7,1,1,2,2,2
690,690,red,7,3,3,3,1,3
691,691,red,6,1,1,1,1,3
692,692,red,5,1,1,0,3,1
693,693,red,5,1,1,1,3,1
694,694,red,5,1,1,0,3,1
695,695,red,5,1,1,0,3,1
696,696,red,5,1,1,0,3,1
697,697,red,6,1,1,1,2,2
698,698,red,6,1,1,1,1,3
699,699,red,6,1,1,1,1,3
700,700,red,6,1,1,0,2,2
701,701,red,6,1,1,0,1,3
702,702,red,5,0,1,0,1,3
703,703,red,4,1,1,1,2,2
704,704,red,7,2,2,2,1,3
705,705,red,7,2,3,2,1,3
706,706,red,7,2,2,2,2,2
707,707,red,4,1,1,0,2,2
708,708,red,6,1,1,0,1,3
709,709,red,5,1,1,0,3,1
710,710,red,5,2,2,1,1,3
711,711,red,6,1,1,0,1,3
712,712,red,5,1,1,0,3,1
713,713,red,5,1,2,0,3,1
714,714,red,6,2,2,0,2,2
715,715,red,7,2,2,2,2,2
716,716,red,6,0,1,0,2,2
717,717,red,5,1,1,1,2,2
718,718,red,5,1,1,0,3,1
719,719,red,6,2,2,1,2,2
720,720,red,5,1,1,0,3,1
721,721,red,6,1,1,0,2,2
722,722,red,6,1,1,0,2,2
723,723,red,7,1,1,2,1,3
724,724,red,6,1,1,0,2,2
725,725,red,7,1,1,2,1,3
726,726,red,3,1,1,0,4,0
727,727,red,5,2,2,2,2,2
728,728,red,7,1,1,0,2,2
729,729,red,7,1,1,0,2,2
730,730,red,5,2,2,1,3,1
731,731,red,5,1,1,1,2,2
732,732,red,6,0,0,0,1,3
733,733,red,6,1,1,1,2,2
734,734,red,6,1,1,2,0,4
735,735,red,6,2,2,2,2,2
736,736,red,6,1,1,2,0,4
737,737,red,6,2,2,2,1,3
738,738,red,6,1,1,2,2,2
739,739,red,6,1,1,1,1,3
740,740,red,5,2,2,2,2,2
741,741,red,6,1,1,2,2,2
742,742,red,6,1,1,1,1,3
743,743,red,5,1,1,1,2,2
744,744,red,4,1,2,1,3,1
745,745,red,5,1,1,1,2,2
746,746,red,7,2,2,2,3,1
747,747,red,5,0,1,0,2,2
748,748,red,5,1,1,0,2,2
749,749,red,6,1,1,2,2,2
750,750,red,5,1,1,0,2,2
751,751,red,5,0,1,0,2,2
752,752,red,6,2,2,2,2,2
753,753,red,6,2,2,2,2,2
754,754,red,4,3,3,2,1,3
755,755,red,7,1,1,2,2,2
756,756,red,5,0,0,1,1,3
757,757,red,7,2,2,3,1,3
758,758,red,7,2,2,2,3,1
759,759,red,7,2,2,2,3,1
760,760,red,7,2,2,2,1,3
761,761,red,7,1,1,2,1,3
762,762,red,7,2,2,2,1,3
763,763,red,7,2,2,2,1,3
764,764,red,7,2,2,2,1,3
765,765,red,7,1,1,2,1,3
766,766,red,7,1,1,2,2,2
767,767,red,7,2,2,2,1,3
768,768,red,6,1,1,2,2,2
769,769,red,5,2,2,3,2,2
770,770,red,6,2,2,3,2,2
771,771,red,6,2,2,3,2,2
772,772,red,5,1,1,0,2,2
773,773,red,6,1,1,2,1,3
